eventID,id,longitude,latitude,tr
0,0,-85.000000,16.000000,crustal
1,1,-95.090000,17.810000,crustal
2,2,-95.130000,17.710000,slab_cam
3,3,-101.420000,18.050000,int_cam
4,4,-101.420000,18.050000,int_cam
5,5,-101.420000,18.050000,int_cam
6,6,-101.160000,18.430000,crustal
7,7,-101.160000,18.430000,crustal
8,8,-97.300000,17.820000,crustal
9,9,-102.386000,18.345000,int_cam
10,10,-104.177000,19.081000,unknown
11,11,-93.479000,16.769000,slab_cam
12,12,-104.147000,18.693000,int_cam
13,13,-94.105000,17.307000,slab_cam
14,14,-99.931000,17.910000,slab_cam
