Period (s),SA (g),EQ ID,Station Code
4.00E-02,9.16E-02,Chamoli 1991-03-28 19:05:11,UKHI
4.20E-02,9.59E-02,,
4.40E-02,9.41E-02,,
4.60E-02,8.94E-02,,
4.80E-02,9.19E-02,,
5.00E-02,9.35E-02,,
5.50E-02,0.10208,,
6.00E-02,0.10576,,
6.50E-02,0.10586,,
7.00E-02,0.11982,,
7.50E-02,0.11827,,
8.00E-02,0.13182,,
8.50E-02,0.13563,,
9.00E-02,0.15238,,
9.50E-02,0.16603,,
0.1,0.16967,,
0.11,0.14823,,
0.12,0.1317,,
0.13,0.15129,,
0.14,0.16926,,
0.15,0.17754,,
0.16,0.18106,,
0.17,0.17792,,
0.18,0.16786,,
0.19,0.15575,,
0.2,0.14709,,
0.22,0.18016,,
0.24,0.28982,,
0.26,0.3814,,
0.28,0.39235,,
0.3,0.30975,,
0.32,0.25556,,
0.34,0.21859,,
0.36,0.18266,,
0.38,0.15508,,
0.4,0.1345,,
0.42,0.1526,,
0.44,0.17701,,
0.46,0.18486,,
0.48,0.17186,,
0.5,0.16508,,
0.55,0.14225,,
0.6,9.71E-02,,
0.65,8.17E-02,,
0.7,7.38E-02,,
0.75,6.55E-02,,
0.8,5.66E-02,,
0.85,5.78E-02,,
0.9,6.98E-02,,
0.95,7.27E-02,,
1,8.02E-02,,
1.1,8.63E-02,,
1.2,6.36E-02,,
1.3,4.99E-02,,
1.4,4.66E-02,,
1.5,4.37E-02,,
1.6,3.98E-02,,
1.7,3.56E-02,,
1.8,3.16E-02,,
1.9,2.79E-02,,
2,2.40E-02,,
2.2,2.36E-02,,
2.4,2.79E-02,,
2.6,3.11E-02,,
2.8,2.75E-02,,
3,2.25E-02,,
3.2,1.77E-02,,
3.4,1.29E-02,,
3.6,1.14E-02,,
3.8,9.54E-03,,
4,8.44E-03,,
4.2,7.40E-03,,
4.4,6.48E-03,,
4.6,5.85E-03,,
4.8,5.88E-03,,
5,5.89E-03,,
5.5,5.58E-03,,
6,5.09E-03,,
6.5,4.14E-03,,
7,3.21E-03,,
7.5,2.48E-03,,
8,2.23E-03,,
